formattedAddress,location,rating,displayName,latitude,longitude,address,inspection_type,inspection_date
"2640 Marion Ave, Bronx, NY 10458, USA","{'latitude': 40.8643982, 'longitude': -73.8908565}",,"{'text': 'Casa de papo ramonsito', 'languageCode': 'es'}",40.864441715433,-73.89095555567,2640 Marion Avenue,Treatments,2026-01-05T09:50:18.000
"770 W 181st St, New York, NY 10033, USA","{'latitude': 40.8507507, 'longitude': -73.938169}",4.0,"{'text': 'Hudson View', 'languageCode': 'en'}",40.85077220305,-73.937867513019,770 West  181 Street,Treatments,2026-01-05T10:34:13.000
"105 W 125th St, New York, NY 10027, USA","{'latitude': 40.8081239, 'longitude': -73.9457803}",2.5,"{'text': ""Dunkin'"", 'languageCode': 'en'}",40.807939090514,-73.945865617023,105 West 125 Street,Compliance,2026-01-05T10:43:33.000
"239 Bedford Park Blvd, Bronx, NY 10458, USA","{'latitude': 40.871296, 'longitude': -73.8864522}",4.3,"{'text': 'Bon Bon Chicken', 'languageCode': 'en'}",40.871137441597,-73.886656218497,239 Bedford Park Blvd,Compliance,2026-01-05T10:49:11.000
"1571 3rd Ave, New York, NY 10128, USA","{'latitude': 40.780204399999995, 'longitude': -73.9527768}",4.2,"{'text': 'Lucia Pizza Of UES', 'languageCode': 'en'}",40.780272369904,-73.952911249344,1571 3Rd Ave,Compliance,2026-01-05T11:24:53.000
"214 Central Ave, Brooklyn, NY 11221, USA","{'latitude': 40.6978979, 'longitude': -73.9251819}",5.0,"{'text': 'El Nuevo Caribe', 'languageCode': 'en'}",40.697988710167,-73.92499873477,214 Central Avenue,Compliance,2026-01-05T12:56:00.000
"279 Nostrand Ave, Brooklyn, NY 11216, USA","{'latitude': 40.689284799999996, 'longitude': -73.95109440000002}",4.0,"{'text': 'The Bureau', 'languageCode': 'en'}",40.68922237953,-73.951324307032,279 Nostrand Avenue,Compliance,2026-01-05T13:52:00.000
"2210 Frederick Douglass Blvd, New York, NY 10026, USA","{'latitude': 40.8063522, 'longitude': -73.953621}",4.3,"{'text': 'Rosa Pizza', 'languageCode': 'en'}",40.80648785804,-73.953842653582,2210 Fredrick Douglass Bl,Stoppage,2026-01-06T08:50:00.000
"135 E 92nd St, New York, NY 10128, USA","{'latitude': 40.783549199999996, 'longitude': -73.95291600000002}",,"{'text': 'Sfolgia', 'languageCode': 'en'}",40.783453629761,-73.95313287266,135 East 92 Street,Compliance,2026-01-06T10:04:42.000
"130 1st Ave, New York, NY 10009, USA","{'latitude': 40.7273481, 'longitude': -73.9851925}",4.6,"{'text': 'Kolachi', 'languageCode': 'en'}",40.72742800177,-73.985395022115,130 1 Avenue,Treatments,2026-01-06T10:10:59.000
"130 1st Ave, New York, NY 10009, USA","{'latitude': 40.7273481, 'longitude': -73.9851925}",4.5,"{'text': 'Utshob Restaurant', 'languageCode': 'en'}",40.72742800177,-73.985395022115,130 1 Avenue,Treatments,2026-01-06T10:10:59.000
