inspection_type,job_ticket_or_work_order_id,job_id,job_progress,bbl,boro_code,block,lot,house_number,street_name,zip_code,latitude,longitude,borough,inspection_date,result,approved_date,location,community_board,council_district,census_tract,bin,nta,x_coord,y_coord
Initial,14233608,PC8660611,1,1001110100,1,00111,0100,20,MADISON STREET,10038,40.711767287013,-73.999682575366,Manhattan,2026-01-27T08:00:26.000,Failed for Other R,2026-01-29T14:12:31.000,"{'latitude': '40.711767287013', 'longitude': '-73.999682575366', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,25,1077417,Chinatown-Two Bridges,,
Initial,14233590,PC8660558,1,,1,01797,0001,2340,2 AVENUE,10035,40.799389625186,-73.936015816258,Manhattan,2026-01-27T08:00:33.000,Failed for Rat Act,2026-01-29T14:45:15.000,"{'latitude': '40.799389625186', 'longitude': '-73.936015816258', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,8,194,,East Harlem (North),,
Initial,14233622,PC8660119,1,5029930001,5,02993,0001,481,HYLAN BOULEVARD,10305,40.608101763116,-74.076326077692,Staten Island,2026-01-27T09:45:12.000,Failed for Other R,2026-01-28T09:25:18.000,"{'latitude': '40.608101763116', 'longitude': '-74.076326077692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,49,36,5093255,Rosebank-Shore Acres-Park Hill,,
Compliance,14233592,PC8630084,2,2033560146,2,03356,0146,3525,DECATUR AVENUE,10467,40.879222138662,-73.872351075752,Bronx,2026-01-27T10:03:18.000,Rat Activity,2026-01-30T09:35:06.000,"{'latitude': '40.879222138662', 'longitude': '-73.872351075752', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,11,43102,2018647,Norwood,1019549,259630
Compliance,14233593,PC8634364,2,2033560185,2,03356,0185,3540,DECATUR AVENUE,10467,40.879386721486,-73.872260352775,Bronx,2026-01-27T10:27:15.000,Rat Activity,2026-01-30T09:37:59.000,"{'latitude': '40.879386721486', 'longitude': '-73.872260352775', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,11,43102,2018652,Norwood,,
Initial,14233591,PC8660859,1,1018087501,1,01808,0001,2342,1 AVENUE,10035,40.798751346383,-73.93338340758,Manhattan,2026-01-27T11:00:00.000,Failed for Rat Act,2026-01-29T14:44:51.000,"{'latitude': '40.798751346383', 'longitude': '-73.93338340758', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,8,192,1089835,East Harlem (North),,
Compliance,14233594,PC8640763,2,2032010027,2,03201,0027,2564,DAVIDSON AVENUE,10468,40.865369650732,-73.900260233562,Bronx,2026-01-27T11:32:41.000,Rat Activity,2026-01-30T09:40:38.000,"{'latitude': '40.865369650732', 'longitude': '-73.900260233562', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,14,265,2014377,University Heights (North)-Fordham,1011837,254573
Initial,14233661,PC8660801,1,3000350009,3,00035,0009,11,OLD FULTON STREET,11201,40.702736836919,-73.994005818148,Brooklyn,2026-01-27T11:41:00.000,Failed for Other R,2026-01-28T15:08:02.000,"{'latitude': '40.702736836919', 'longitude': '-73.994005818148', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2,33,21,3000076,Downtown Brooklyn-DUMBO-Boerum Hill,,
Compliance,14233595,PC8619155,6,2031670064,2,03167,0064,2545,GRAND CONCOURSE,10468,40.863444913621,-73.896387466315,Bronx,2026-01-27T11:54:00.000,Rat Activity,2026-01-30T09:53:54.000,"{'latitude': '40.863444913621', 'longitude': '-73.896387466315', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,14,401,2013823,University Heights (North)-Fordham,1012909,253873
Compliance,14233827,PC8542179,8,2024439080,2,02443,9080,800,CONCOURSE VILLAGE WEST,10451,40.82477834523,-73.922372973735,Bronx,2026-01-27T11:54:00.000,Failed for Rat Act,2026-01-29T15:30:21.000,"{'latitude': '40.82477834523', 'longitude': '-73.922372973735', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,61,2101572,Concourse-Concourse Village,1005734,239778
Initial,14233640,PC8657444,1,4012720035,4,01272,0035,35-54,73 STREET,11372,40.750522881473,-73.892994272194,Queens,2026-01-27T12:00:10.000,Rat Activity,2026-01-28T09:23:26.000,"{'latitude': '40.750522881473', 'longitude': '-73.892994272194', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,25,291,4029537,Jackson Heights,,
Compliance,14233596,PC8630550,2,2031650030,2,03165,0030,2446,CRESTON AVENUE,10468,40.861668399199,-73.898711243161,Bronx,2026-01-27T12:08:00.000,Rat Activity,2026-01-30T10:25:54.000,"{'latitude': '40.861668399199', 'longitude': '-73.898711243161', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5,14,23703,2013796,Fordham Heights,,
Initial,14233607,PC8654078,1,,1,02069,0001,67,ST NICHOLAS PLACE,10031,40.828986212635,-73.94115813284,Manhattan,2026-01-27T12:48:00.000,Failed for Rat Act,2026-01-28T08:53:41.000,"{'latitude': '40.828986212635', 'longitude': '-73.94115813284', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,9,23501,,Hamilton Heights-Sugar Hill,,
Initial,14233778,PC8657480,1,1004870006,1,00487,0006,498,BROOME STREET,10013,40.723218426154,-74.002781552345,Manhattan,2026-01-27T13:06:04.000,Failed for Other R,2026-01-28T09:54:12.000,"{'latitude': '40.723218426154', 'longitude': '-74.002781552345', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2,1,47,1007306,SoHo-Little Italy-Hudson Square,,
Initial,14233609,PC8660329,1,3026280006,3,02628,0006,245,RUSSELL STREET,11222,40.72886226105,-73.945049744877,Brooklyn,2026-01-27T13:45:21.000,Failed for Other R,2026-01-28T09:27:55.000,"{'latitude': '40.72886226105', 'longitude': '-73.945049744877', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,33,58901,3065920,Greenpoint,,
Initial,14233670,PC8656788,1,1017250005,1,01725,0005,79,WEST  127 STREET,10027,40.808651600568,-73.943531444457,Manhattan,2026-01-27T13:50:45.000,Rat Activity,2026-01-29T14:55:08.000,"{'latitude': '40.808651600568', 'longitude': '-73.943531444457', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,208,1053614,Harlem (North),999882,233898
Compliance,14233831,PC8625692,2,2024350025,2,02435,0025,1175,FINDLAY AVENUE,10456,40.832264507404,-73.912650694281,Bronx,2026-01-27T14:00:57.000,Failed for Other R,2026-01-29T15:47:39.000,"{'latitude': '40.832264507404', 'longitude': '-73.912650694281', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,175,2002295,Concourse-Concourse Village,,
Compliance,14233833,PC8625580,2,2024350007,2,02435,0007,1200,COLLEGE AVENUE,10456,40.832901768259,-73.913285864295,Bronx,2026-01-27T14:23:57.000,Failed for Rat Act,2026-01-29T15:55:38.000,"{'latitude': '40.832901768259', 'longitude': '-73.913285864295', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,175,2002289,Concourse-Concourse Village,,
Initial,14233877,PC8661613,1,1016960001,1,01696,0001,1980,1 AVENUE,10029,40.787148398787,-73.941856100282,Manhattan,2026-01-28T08:00:13.000,Failed for Rat Act,2026-01-29T14:43:00.000,"{'latitude': '40.787148398787', 'longitude': '-73.941856100282', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,8,162,1083937,East Harlem (South),,
Initial,14234109,PC8661704,1,2023250001,2,02325,0001,300,MORRIS AVENUE,10451,40.812103025109,-73.926401367188,Bronx,2026-01-28T08:00:36.000,Failed for Other R,2026-01-29T14:23:44.000,"{'latitude': '40.812103025109', 'longitude': '-73.926401367188', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,8,51,2091125,Mott Haven-Port Morris,,
Initial,14233894,PC8659214,1,3016420020,3,01642,0020,700,MONROE STREET,11221,40.687969901608,-73.928698787992,Brooklyn,2026-01-28T08:53:00.000,Rat Activity,2026-01-29T10:51:19.000,"{'latitude': '40.687969901608', 'longitude': '-73.928698787992', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,385,3044988,Bedford-Stuyvesant (East),,
Initial,14234103,PC8662307,1,1015960001,1,01596,0001,90,LENOX AVENUE,10026,40.801007910143,-73.950407888735,Manhattan,2026-01-28T08:58:06.000,Failed for Other R,2026-01-29T09:34:43.000,"{'latitude': '40.801007910143', 'longitude': '-73.950407888735', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,186,1083313,Harlem (South),,
Initial,14234070,PC8659436,1,3016390038,3,01639,0038,538A,MONROE STREET,11221,40.687079663352,-73.936448518736,Brooklyn,2026-01-28T09:16:00.000,Rat Activity,2026-01-29T09:17:50.000,"{'latitude': '40.687079663352', 'longitude': '-73.936448518736', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,277,3044801,Bedford-Stuyvesant (East),,
Initial,14234139,PC8660222,1,3020390101,3,02039,0101,21,AUBURN PLACE,11205,40.694341155242,-73.976906204208,Brooklyn,2026-01-28T09:30:37.000,Rat Activity,2026-01-29T14:11:23.000,"{'latitude': '40.694341155242', 'longitude': '-73.976906204208', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2,35,2901,3251647,Fort Greene,,
Compliance,14234246,PC8520593,6,3052120024,3,05212,0024,2511,NEWKIRK AVENUE,11226,40.639707279093,-73.953000016288,Brooklyn,2026-01-28T09:33:21.000,Failed for Rat Act,2026-01-29T18:02:24.000,"{'latitude': '40.639707279093', 'longitude': '-73.953000016288', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,45,79002,3120374,East Flatbush-Erasmus,997294,172345
Initial,14234294,PC8658627,1,1011397503,1,01139,7503,1998,BROADWAY,10023,40.775359297524,-73.982160242675,Manhattan,2026-01-28T09:35:00.000,Rat Activity,2026-01-29T14:19:13.000,"{'latitude': '40.775359297524', 'longitude': '-73.982160242675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,6,15302,1084564,Upper West Side-Lincoln Square,989191,221764
Initial,14234270,PC8660485,1,1021070072,1,02107,0072,935,ST NICHOLAS AVENUE,10032,40.832120613327,-73.94097828134,Manhattan,2026-01-28T09:50:00.000,Rat Activity,2026-01-29T06:22:16.000,"{'latitude': '40.832120613327', 'longitude': '-73.94097828134', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,10,239,1062491,Washington Heights (South),1000583,242449
Initial,14234034,PC8654007,1,1020660029,1,02066,0029,820,ST NICHOLAS AVENUE,10031,40.828221065782,-73.942412674485,Manhattan,2026-01-28T10:00:00.000,Rat Activity,2026-01-29T15:30:47.000,"{'latitude': '40.828221065782', 'longitude': '-73.942412674485', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,9,23501,1061593,Hamilton Heights-Sugar Hill,,
Initial,14233928,PC8652416,1,2028630013,2,02863,0013,2012,DAVIDSON AVENUE,10453,40.853039482702,-73.909189254745,Bronx,2026-01-28T10:02:00.000,Failed for Other R,2026-01-29T15:57:37.000,"{'latitude': '40.853039482702', 'longitude': '-73.909189254745', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5,14,243,2008395,University Heights (South)-Morris Heights,,
