rating,latitude,longitude,restaurant_name,address,inspection_type,inspection_date,result
3.0,40.703102,-73.91824,The Podunk Inquirer,"323 Stanhope St, Brooklyn, NY 11237, USA",Treatments,2025-01-26 14:10:00,Bait applied
5.0,40.702601,-73.918874,SPLASH NUTRITION,"303 Stanhope St, Brooklyn, NY 11237, USA",Treatments,2025-01-26 14:30:00,Bait applied
4.4,40.787022,-73.978129,Namazake Sushi,"2315 Broadway, New York, NY 10024, USA",Initial,2025-01-27 08:20:00,Rat Activity
4.4,40.787022,-73.978129,Namazake Sushi,"2315 Broadway, New York, NY 10024, USA",Initial,2025-01-27 08:20:00,Rat Activity
3.6,40.801942,-73.956899,Dragon Sushi,"2072 Frederick Douglass Blvd, New York, NY 10026, USA",Treatments,2025-01-27 08:32:31,Bait applied
3.6,40.804603,-73.955034,Kennedy Chicken & Burgers,"2150 Frederick Douglass Blvd, New York, NY 10026, USA",Treatments,2025-01-27 08:44:03,Bait applied
3.8,40.661749,-73.950985,Dragon King,"1078 Nostrand Ave, Brooklyn, NY 11225, USA",Treatments,2025-01-27 09:20:49,Bait applied
4.2,40.811455,-73.950228,Arnie & Ebony Catering LLC,"Frederick Douglass Blvd, W 127th St, New York, NY 10027, USA",Treatments,2025-01-27 09:26:12,Bait applied
5.0,40.717974,-73.999259,dinkies,"118 Baxter St, New York, NY 10013, USA",Treatments,2025-01-27 09:26:45,Bait applied
5.0,40.717974,-73.999259,dinkies,"118 Baxter St, New York, NY 10013, USA",Treatments,2025-01-27 09:26:45,Bait applied
4.5,40.846839,-73.897963,National Burger House,"470 E Tremont Ave, Bronx, NY 10457, USA",Treatments,2025-01-27 09:38:00,Bait applied
3.9,40.797385,-73.949085,Kennedy Fried Chicken,"1316 5th Ave, New York, NY 10026, USA",Treatments,2025-01-27 09:53:56,Bait applied
4.7,40.719806,-73.999084,161 Lafayette,"161 Lafayette St, New York, NY 10013, USA",Treatments,2025-01-27 09:56:45,Bait applied
,40.701853,-73.919564,Diego's Gyros,"178 Irving Ave, Brooklyn, NY 11237, USA",Compliance,2025-01-27 10:02:40,Rat Activity
,40.701853,-73.919564,Diego's Gyros,"178 Irving Ave, Brooklyn, NY 11237, USA",Compliance,2025-01-27 10:02:40,Rat Activity
5.0,40.702601,-73.918874,SPLASH NUTRITION,"303 Stanhope St, Brooklyn, NY 11237, USA",Compliance,2025-01-27 10:10:40,Rat Activity
,40.720137,-73.996476,Acai Berry,"377 Broome St, New York, NY 10013, USA",Treatments,2025-01-27 10:11:45,Bait applied
5.0,40.700769,-73.903929,El Novillo 4,"8-95 Seneca Ave, Ridgewood, NY 11385, USA",Treatments,2025-01-27 10:16:47,Bait applied
