rating,latitude,longitude,restaurant_name,address,inspection_type,inspection_date,result,name,county,city,postcode,suburb,lon,lat,approved_date,neighborhood,type
,,,,9 Hanover Place,,2026-04-13 00:00:00,Bait applied,Gourmet Cafe,Kings County,New York,11201.0,Brooklyn,-73.982276,40.688898,2026-04-20,Downtown Brooklyn-DUMBO-Boerum Hill,Breakfast;Sandwich;Salad
,,,,4168 Broadway,,2026-04-13 00:00:00,Bait applied,IHOP,New York County,New York,10033.0,Manhattan,-73.937823,40.847519,2026-04-16,Washington Heights (South),Breakfast;Pancake
,,,,170 East 110th Street,,2026-04-13 00:00:00,Rat Activity,Aloaf Cafe,New York County,New York,10029.0,Manhattan,-73.943524,40.794318,2026-04-15,East Harlem (South),Bakery
,,,,2108 2nd Avenue,,2026-04-13 00:00:00,Bait applied,Ollin,New York County,New York,10035.0,Manhattan,-73.941037,40.792207,2026-04-16,East Harlem (South),
,40.748609,-73.8934,Rosui Ghor,"72 37th Ave, Jackson Heights, NY 11372, USA",Compliance,2026-03-05 09:22:00,Rat Activity,,,,,,,,,,
4.4,40.747386,-73.893391,Karachi Kabab Boiz (KKB) Storefront,"72-08 Broadway, Jackson Heights, NY 11372, USA",Compliance,2026-03-05 08:14:00,Rat Activity,,,,,,,,,,
3.0,40.680895,-73.977291,Sfi Grill & Deli,"Brooklyn, NY 11217, USA",Initial,2026-03-04 14:45:00,Failed for Other R,,,,,,,,,,
4.9,40.785926,-73.976602,Florentin,"480 Amsterdam Ave, New York, NY 10024, USA",Compliance,2026-03-04 14:35:06,Failed for Rat Act,,,,,,,,,,
4.3,40.702192,-73.920344,Caraotas,"162 Irving Ave, Brooklyn, NY 11237, USA",Compliance,2026-03-04 14:22:48,Rat Activity,,,,,,,,,,
4.1,40.68303,-73.922893,Dream House,"194 Ralph Ave, Brooklyn, NY 11233, USA",Treatments,2026-03-04 13:47:00,Bait applied,,,,,,,,,,
4.5,40.700658,-73.921225,Knickerbocker Bagel,"367 Knickerbocker Ave, Brooklyn, NY 11237, USA",Compliance,2026-03-04 13:25:48,Rat Activity,,,,,,,,,,
4.2,40.77201,-73.955404,Ollie’s To Go: Upper East Side,"307 E 77th St, New York, NY 10075, USA",Compliance,2026-03-04 13:22:03,Rat Activity,,,,,,,,,,
5.0,40.711704,-73.994409,Bolzot,"55 Market St, New York, NY 10002, USA",Initial,2026-03-04 12:31:56,Failed for Other R,,,,,,,,,,
5.0,40.684546,-73.944572,Rodo Foods,"420 Putnam Ave, Brooklyn, NY 11216, USA",Compliance,2026-03-04 12:31:55,Rat Activity,,,,,,,,,,
4.3,40.829593,-73.947798,Mire Star Restaurant,"3640 Broadway, New York, NY 10031, USA",Compliance,2026-03-04 12:25:01,Failed for Rat Act,,,,,,,,,,
5.0,40.711704,-73.994409,Bolzot,"55 Market St, New York, NY 10002, USA",Initial,2026-03-04 12:23:45,Rat Activity,,,,,,,,,,
