formattedAddress,location,rating,displayName,latitude,longitude,address,inspection_type,inspection_date
"2640 Marion Ave, Bronx, NY 10458, USA","{'latitude': 40.8643982, 'longitude': -73.8908565}",,"{'text': 'Casa de papo ramonsito', 'languageCode': 'es'}",40.864441715433,-73.89095555567,2640 Marion Avenue,Treatments,2026-01-12T10:00:00.000
"2211 Frederick Douglass Blvd, New York, NY 10026, USA","{'latitude': 40.8066497, 'longitude': -73.95406210000002}",4.5,"{'text': 'Vinatería', 'languageCode': 'en'}",40.806542745697,-73.953824554099,2211 8 Avenue,Compliance,2026-01-12T11:15:10.000
"200 E 89th St, New York, NY 10128, USA","{'latitude': 40.7805077, 'longitude': -73.9524696}",3.6,"{'text': ""Dunkin'"", 'languageCode': 'en'}",40.780598719546,-73.952243011945,200 East 89 Street,Compliance,2026-01-12T11:15:32.000
"36 W 48th St, New York, NY 10036, USA","{'latitude': 40.757896099999996, 'longitude': -73.97993310000001}",4.2,"{'text': 'Five Guys', 'languageCode': 'en'}",40.758003818721,-73.979858366996,36 West   48 Street,Initial,2026-01-12T11:38:00.000
"36 W 48th St, New York, NY 10036, USA","{'latitude': 40.757922199999996, 'longitude': -73.9798833}",4.0,"{'text': 'Wu Liang Ye', 'languageCode': 'en'}",40.758003818721,-73.979858366996,36 West   48 Street,Initial,2026-01-12T11:38:00.000
"19-06 Ditmars Blvd, Astoria, NY 11105, USA","{'latitude': 40.7809771, 'longitude': -73.9178665}",4.4,"{'text': 'Agnanti', 'languageCode': 'en'}",40.781103452453,-73.917773286402,19-06 Ditmars Boulevard,Initial,2026-01-12T11:51:00.000
"309 Knickerbocker Ave, Brooklyn, NY 11237, USA","{'latitude': 40.70168960000001, 'longitude': -73.9231774}",4.5,"{'text': 'Palmetto', 'languageCode': 'en'}",40.701621657835,-73.92328873444,309 Knickerbocker Avenue,Compliance,2026-01-12T12:00:18.000
"214 Knickerbocker Ave, Brooklyn, NY 11237, USA","{'latitude': 40.7032173, 'longitude': -73.9264526}",4.7,"{'text': ""Molly's Milk Truck Sweet & Savory"", 'languageCode': 'en'}",40.703317163219,-73.926309140595,214 Knickerbocker Avenue,Compliance,2026-01-12T14:20:45.000
"147 Avenue A, New York, NY 10009, USA","{'latitude': 40.7275164, 'longitude': -73.9827385}",4.4,"{'text': 'Village Square Pizza', 'languageCode': 'en'}",40.727405647501,-73.982559179975,147 Avenue A,Stoppage,2026-01-13T09:38:00.000
"147 Avenue A, New York, NY 10009, USA","{'latitude': 40.7275188, 'longitude': -73.9827504}",,"{'text': 'WeHots', 'languageCode': 'en'}",40.727405647501,-73.982559179975,147 Avenue A,Stoppage,2026-01-13T09:38:00.000
"147 Avenue A, New York, NY 10009, USA","{'latitude': 40.7275188, 'longitude': -73.9827504}",,"{'text': 'BABA DONER', 'languageCode': 'en'}",40.727405647501,-73.982559179975,147 Avenue A,Stoppage,2026-01-13T09:38:00.000
"504 39th St, Brooklyn, NY 11232, USA","{'latitude': 40.651052199999995, 'longitude': -74.003789}",4.3,"{'text': 'Antojitos Catrachos', 'languageCode': 'en'}",40.651014385243,-74.003520913382,504 39 Street,Compliance,2026-01-13T09:57:00.000
"49 Clinton St, New York, NY 10002, USA","{'latitude': 40.7197786, 'longitude': -73.9850103}",4.5,"{'text': 'Yopparai', 'languageCode': 'en'}",40.7197370803,-73.984743750836,49 Clinton Street,Compliance,2026-01-13T10:12:06.000
"259 E 10th St, New York, NY 10009, USA","{'latitude': 40.7285073, 'longitude': -73.9834905}",4.7,"{'text': 'Lê Phin', 'languageCode': 'en'}",40.728435092098,-73.983626878654,259 East 10 Street,Stoppage,2026-01-13T10:14:00.000
"50 Avenue B, New York, NY 10009, USA","{'latitude': 40.7232535, 'longitude': -73.9827885}",4.6,"{'text': 'EAST VILLAGE FINEST DELI', 'languageCode': 'en'}",40.723077168394,-73.982675763911,50 Avenue B,Initial,2026-01-13T10:15:34.000
"50 Avenue B, New York, NY 10009, USA","{'latitude': 40.7232351, 'longitude': -73.9828034}",4.5,"{'text': 'GAMA', 'languageCode': 'en'}",40.723077168394,-73.982675763911,50 Avenue B,Initial,2026-01-13T10:15:34.000
"50 Avenue B, New York, NY 10009, USA","{'latitude': 40.7232351, 'longitude': -73.9828034}",,"{'text': 'Ikto Lounge Bar', 'languageCode': 'en'}",40.723077168394,-73.982675763911,50 Avenue B,Initial,2026-01-13T10:15:34.000
"130 1st Ave, New York, NY 10009, USA","{'latitude': 40.7273481, 'longitude': -73.9851925}",4.6,"{'text': 'Kolachi', 'languageCode': 'en'}",40.72742800177,-73.985395022115,130 1 Avenue,Treatments,2026-01-13T10:22:37.000
"130 1st Ave, New York, NY 10009, USA","{'latitude': 40.7273481, 'longitude': -73.9851925}",4.5,"{'text': 'Utshob Restaurant', 'languageCode': 'en'}",40.72742800177,-73.985395022115,130 1 Avenue,Treatments,2026-01-13T10:22:37.000
"24 W 23rd St, New York, NY 10010, USA","{'latitude': 40.741779, 'longitude': -73.9907391}",3.0,"{'text': ""Wendy's"", 'languageCode': 'en'}",40.741956582815,-73.990581191553,24 West   23 Street,Compliance,2026-01-13T10:38:00.000
"280 E 10th St, New York, NY 10009, USA","{'latitude': 40.727995299999996, 'longitude': -73.9830717}",4.8,"{'text': 'No Nazar Art Cafe', 'languageCode': 'en'}",40.72819347578,-73.98309656361,280 East 10 Street,Initial,2026-01-13T10:38:47.000
"38 Avenue B, New York, NY 10009, USA","{'latitude': 40.7228141, 'longitude': -73.9830446}",4.9,"{'text': 'Potenza Centrale', 'languageCode': 'en'}",40.722761554845,-73.982906738785,38 Avenue B,Initial,2026-01-13T10:41:00.000
"103-06 Liberty Ave, South Ozone Park, NY 11417, USA","{'latitude': 40.681579899999996, 'longitude': -73.8374742}",4.0,"{'text': 'Curry Roti Box', 'languageCode': 'en'}",40.68171780642,-73.83763493581,103-06 Liberty Avenue,Initial,2026-01-13T11:05:55.000
"177 Orchard St, New York, NY 10002, USA","{'latitude': 40.721809799999996, 'longitude': -73.9885376}",4.3,"{'text': 'Son del North', 'languageCode': 'en'}",40.721749420863,-73.988379790034,177 Orchard Street,Treatments,2026-01-13T11:09:37.000
"177 Orchard St, New York, NY 10002, USA","{'latitude': 40.721809799999996, 'longitude': -73.9885376}",4.6,"{'text': 'Chocolate DIP', 'languageCode': 'en'}",40.721749420863,-73.988379790034,177 Orchard Street,Treatments,2026-01-13T11:09:37.000
"177 Orchard St, New York, NY 10002, USA","{'latitude': 40.721809799999996, 'longitude': -73.9885376}",4.9,"{'text': 'Taco Taco', 'languageCode': 'en'}",40.721749420863,-73.988379790034,177 Orchard Street,Treatments,2026-01-13T11:09:37.000
"67 2nd Ave, New York, NY 10003, USA","{'latitude': 40.7261515, 'longitude': -73.98971569999999}",3.8,"{'text': 'La Vera Pizza', 'languageCode': 'en'}",40.726094495082,-73.989504686971,67 2 Avenue,Initial,2026-01-13T11:35:40.000
"540 Concord Ave, Bronx, NY 10455, USA","{'latitude': 40.812743999999995, 'longitude': -73.90798900000001}",,"{'text': 'Niyab87', 'languageCode': 'en'}",40.812814552412,-73.908225599715,540 Concord Avenue,Compliance,2026-01-13T11:38:38.000
"1264 Myrtle Ave, Brooklyn, NY 11221, USA","{'latitude': 40.6978759, 'longitude': -73.9267959}",4.4,"{'text': 'Casa Maya', 'languageCode': 'en'}",40.697921182552,-73.926686581611,1264 Myrtle Avenue,Compliance,2026-01-13T11:42:21.000
"1264 Myrtle Ave, Brooklyn, NY 11221, USA","{'latitude': 40.6977802, 'longitude': -73.92677739999999}",3.4,"{'text': 'Red Tacos', 'languageCode': 'en'}",40.697921182552,-73.926686581611,1264 Myrtle Avenue,Compliance,2026-01-13T11:42:21.000
"1264 Myrtle Ave, Brooklyn, NY 11221, USA","{'latitude': 40.6977802, 'longitude': -73.92677739999999}",4.9,"{'text': 'FRIDA’S BUSHWICK', 'languageCode': 'en'}",40.697921182552,-73.926686581611,1264 Myrtle Avenue,Compliance,2026-01-13T11:42:21.000
"235 E 4th St, New York, NY 10009, USA","{'latitude': 40.723505900000006, 'longitude': -73.98267589999999}",4.5,"{'text': 'Stoned Pizza', 'languageCode': 'en'}",40.723379104706,-73.982755055159,235 East 4 Street,Initial,2026-01-13T11:45:37.000
"45 E 1st St, New York, NY 10003, USA","{'latitude': 40.7237351, 'longitude': -73.9899417}",5.0,"{'text': 'Moon Coffee Lab', 'languageCode': 'en'}",40.723890487974,-73.98995600501,45 East 1 Street,Initial,2026-01-13T12:51:49.000
"499 W 158th St, New York, NY 10032, USA","{'latitude': 40.8334982, 'longitude': -73.9411958}",4.3,"{'text': 'Blue Mountain Heights', 'languageCode': 'en'}",40.833430086355,-73.941432443979,499 West 158 Street,Compliance,2026-01-14T08:00:19.000
