rating,latitude,longitude,restaurant_name,address,inspection_type,inspection_date,result
4.3,40.70248,-73.989501,Front Street Pizza,"80 Front St, Brooklyn, NY 11201, USA",Initial,2026-02-02T08:09:00.000,Rat Activity
3.8,40.703184,-73.942338,The Graham Pizza & Chicken,"64 Graham Ave, Brooklyn, NY 11206, USA",Compliance,2026-02-02T08:36:00.000,Failed for Other R
N/A,40.702463,-73.987638,Iré Caribbean Cuisine,"Front St, Brooklyn, NY 11201, USA",Initial,2026-02-02T09:22:00.000,Rat Activity
4.6,40.713716,-73.949487,Poetica Coffee,"561 Lorimer St, Brooklyn, NY 11211, USA",Compliance,2026-02-02T09:27:00.000,Failed for Rat Act
4.4,40.836072,-73.888322,Alayna's Nail Lounge & S,"1670 Southern Blvd, Bronx, NY 10460, USA",Initial,2026-02-02T09:35:00.000,Failed for Other R
4.6,40.824822,-73.9477,The Oma Shop I Coffee + Home,"1707 Amsterdam Ave, New York, NY 10031, USA",Initial,2026-02-02T09:54:00.000,Rat Activity
N/A,40.718314,-73.957507,Sunshine Cafe,"168 Bedford Ave, Brooklyn, NY 11249, USA",Compliance,2026-02-02T10:00:00.000,Rat Activity
4.2,40.825787,-73.948497,Wats On Your Plate,"513 W 145th St, New York, NY 10031, USA",Initial,2026-02-02T10:28:00.000,Rat Activity
4,40.741191,-73.983285,Popeyes Louisiana Kitchen,"75 Lexington Ave, New York, NY 10010, USA",Treatments,2026-02-02T10:35:23.000,Bait applied
4.2,40.82611,-73.950383,LA VIAGRA,"3536 Broadway, New York, NY 10031, USA",Initial,2026-02-02T10:48:00.000,Rat Activity
4.7,40.859419,-73.893766,Kenkey Hut,"2427 Webster Ave, Bronx, NY 10458, USA",Compliance,2026-02-02T10:50:00.000,Failed for Rat Act
4,40.69374,-73.964499,Soco,"509 Myrtle Ave, Brooklyn, NY 11205, USA",Compliance,2026-02-02T10:55:00.000,Failed for Rat Act
4,40.830208,-73.891754,Kennedy Fried Chicken,"1282 Southern Blvd, Bronx, NY 10459, USA",Initial,2026-02-02T11:13:00.000,Rat Activity
4.3,40.772299,-73.955236,Anand,"304 E 78th St, New York, NY 10075, USA",Initial,2026-02-02T11:14:00.000,Failed for Rat Act
4,40.830208,-73.891754,Kennedy Fried Chicken,"1282 Southern Blvd, Bronx, NY 10459, USA",Initial,2026-02-02T11:22:08.000,Failed for Other R
4.2,40.825787,-73.948497,Wats On Your Plate,"513 W 145th St, New York, NY 10031, USA",Compliance,2026-02-02T11:29:22.000,Rat Activity
4.5,40.772298,-73.954946,Orwashers Bakery,"308 E 78th St, New York, NY 10075, USA",Initial,2026-02-02T11:29:40.000,Rat Activity
4.2,40.825787,-73.948497,Wats On Your Plate,"513 W 145th St, New York, NY 10031, USA",Compliance,2026-02-02T11:38:22.000,Rat Activity
4.2,40.825787,-73.948497,Wats On Your Plate,"513 W 145th St, New York, NY 10031, USA",Compliance,2026-02-02T11:50:22.000,Rat Activity
4.4,40.718555,-73.985449,Santo Domingo Bakery,"93 Clinton St # 2, New York, NY 10002, USA",Compliance,2026-02-02T11:54:47.000,Rat Activity
4.3,40.772299,-73.955236,Anand,"304 E 78th St, New York, NY 10075, USA",Initial,2026-02-02T12:01:40.000,Failed for Rat Act
4.6,40.679316,-73.981426,The Armory,"149 4th Ave, Brooklyn, NY 11217, USA",Compliance,2026-02-02T12:10:00.000,Rat Activity
4,40.677582,-73.958857,Pasha Pizza,"665 Classon Ave, Brooklyn, NY 11238, USA",Initial,2026-02-02T12:55:16.000,Rat Activity
