name,county,city,postcode,suburb,address,lon,lat,inspection_type,inspection_date,result,neighborhood,type
Empire Corner 2,New York County,New York,10029,Manhattan,1415 5th Avenue,-73.946391,40.800437,Compliance,2026-08-31,Failed for Rat Activity and Other Reason,East Harlem (North),Chinese
Kennedy Fried Chicken & Pizza,New York County,New York,10037,Manhattan,2252 5th Avenue,-73.936772,40.814254,Initial,2026-08-31,Failed for Rat Activity and Other Reason,Harlem (North),N/A
King Tai,Kings County,New York,11216,Brooklyn,1095 Bergen Street,-73.949464,40.676194,Compliance,2026-08-31,Failed for Rat Activity,Crown Heights (North),N/A
M. Wells Steakhouse,Queens County,New York,11101,Queens,43-15 Crescent Street,-73.942358,40.748382,Compliance,2026-09-01,Failed for Rat Activity,Long Island City-Hunters Point,N/A
Aunt Jenny,New York County,New York,10025,Manhattan,2794 Broadway,-73.967371,40.802714,Treatments,2026-09-01,Bait applied,Upper West Side-Manhattan Valley,Chinese
Korean Street Foods,New York County,New York,10009,Manhattan,147 Avenue A,-73.982694,40.727472,Treatments,2026-09-01,Bait applied,East Village,Korean
Village Square Pizza,New York County,New York,10009,Manhattan,147 Avenue A,-73.982676,40.727504,Treatments,2026-09-01,Bait applied,East Village,Pizza
Lian Jiang,New York County,New York,10002,Manhattan,88 Division Street,-73.993811,40.714369,Treatments,2026-09-01,Bait applied,Chinatown-Two Bridges,Chinese
Halal Chicks,New York County,New York,10025,Manhattan,961 Columbus Avenue,-73.962116,40.799944,Treatments,2026-09-01,Bait applied,Upper West Side-Manhattan Valley,N/A
King Food,Kings County,New York,11221,Brooklyn,127 Malcolm X Boulevard,-73.930159,40.68913,Initial,2026-09-01,Failed for Rat Activity,Bedford-Stuyvesant (East),Chinese
The Tang,New York County,New York,10025,Manhattan,920 Amsterdam Avenue,-73.966301,40.799957,Treatments,2026-09-01,Bait applied,Upper West Side-Manhattan Valley,Chinese
Keur Coumba,New York County,New York,10026,Manhattan,125 West 116th Street,-73.950734,40.802656,Treatments,2026-09-01,Bait applied,Harlem (South),African;Senegalese
