inspection_type,job_id,boro_code,block,lot,house_number,street_name,zip_code,latitude,longitude,borough,inspection_date,result,location,community_board,council_district,census_tract,nta,bbl,bin,x_coord,y_coord
Initial,PC8761059,1,430,10,112,EAST 3 STREET,10009,40.724326602099,-73.986939834493,Manhattan,2026-08-10T07:30:35.000,Failed for Rat Activity,"{'latitude': '40.724326602099', 'longitude': '-73.986939834493', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,2,3002,East Village,,,,
Initial,PC8764614,1,428,1,000,1 AVENUE,,0.00000000000000000000,0.00000000000000000000,Manhattan,2026-08-10T08:00:10.000,Failed for Rat Activity and Other Reason,"{'latitude': '0.0', 'longitude': '0.0', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
Compliance,PC8721592,2,2620,11,3212,3 AVENUE,10451,40.823058751565,-73.909248392584,Bronx,2026-08-10T08:00:37.000,Failed for Rat Activity,"{'latitude': '40.823058751565', 'longitude': '-73.909248392584', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,17,141,Morrisania,2026200011,2004369,,
Compliance,PC8721341,2,2620,22,3246,3 AVENUE,10451,40.823955895103,-73.908759381661,Bronx,2026-08-10T08:10:27.000,Failed for Rat Activity,"{'latitude': '40.823955895103', 'longitude': '-73.908759381661', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,17,141,Morrisania,2026200022,2004375,,
Compliance,PC8721201,2,2620,31,923,EAGLE AVENUE,10456,40.823211462527,-73.907998028636,Bronx,2026-08-10T08:20:30.000,Failed for Rat Activity and Other Reason,"{'latitude': '40.823211462527', 'longitude': '-73.907998028636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,17,141,Morrisania,2026200031,2000000,,
Initial,PC8758764,3,1201,57,1327,PACIFIC STREET,11216,40.677574987835,-73.948329674215,Brooklyn,2026-08-10T08:26:43.000,Failed for Rat Activity,"{'latitude': '40.677574987835', 'longitude': '-73.948329674215', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,36,315,Crown Heights (North),3012010057,3029814,,
Initial,PC8761312,1,434,1,100,1 AVENUE,10009,40.726472909735,-73.9860915564,Manhattan,2026-08-10T08:29:16.000,Failed for Rat Activity and Other Reason,"{'latitude': '40.726472909735', 'longitude': '-73.9860915564', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,2,32,East Village,1004340001,1005769,,
Compliance,PC8721361,2,2620,34,917,EAGLE AVENUE,10456,40.823115428455,-73.908037906675,Bronx,2026-08-10T08:30:34.000,Failed for Rat Activity,"{'latitude': '40.823115428455', 'longitude': '-73.908037906675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,17,141,Morrisania,2026200034,2004381,,
Treatments,PC8720681,3,1638,63,789,MONROE STREET,11221,40.68839853146,-73.925092497542,Brooklyn,2026-08-10T08:31:00.000,Bait applied,"{'latitude': '40.68839853146', 'longitude': '-73.925092497542', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,41,385,Bedford-Stuyvesant (East),3016380063,3044741,,
Initial,PC8761201,1,434,54,407,EAST 6 STREET,10009,40.72622034738,-73.985734428851,Manhattan,2026-08-10T08:39:52.000,Failed for Rat Activity,"{'latitude': '40.72622034738', 'longitude': '-73.985734428851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,2,32,East Village,1004340054,1005811,,
Compliance,PC8721674,2,2620,35,915,EAGLE AVENUE,10456,40.823082503145,-73.908052404982,Bronx,2026-08-10T08:40:17.000,Failed for Rat Activity,"{'latitude': '40.823082503145', 'longitude': '-73.908052404982', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,17,141,Morrisania,2026200035,2128779,,
