job_id,inspection_date,inspection_type,house_number,street_name,zip_code,borough,result,letter_type,observations,bbl,boro_code,block,lot,latitude,longitude,location,community_board,council_district,census_tract,bin,nta,x_coord,y_coord
PC8758917,2026-08-31T08:00:19.000,Compliance,673,STERLING PLACE,11216,Brooklyn,Failed for Rat Activity,Summons Issued,Burrows,3012380068,3,1238,68,40.673082228974,-73.955957739828,"{'latitude': '40.673082228974', 'longitude': '-73.955957739828', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,35,219,3031449,Crown Heights (North),,
PC8620590,2026-08-31T08:02:00.000,Compliance,385,GRAND STREET,10002,Manhattan,Failed for Rat Activity and Other Reason,Summons Issued,"Droppings, Burrows, Runways, Harborage, Animal Nuisance",1003110013,1,311,13,40.716336705158,-73.988052468824,"{'latitude': '40.716336705158', 'longitude': '-73.988052468824', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,1401,1077605,Lower East Side,987562,200260
PC8737507,2026-08-31T08:06:00.000,Stoppage,654A,LAFAYETTE AVENUE,11216,Brooklyn,Stoppage done,,,3017890043,3,1789,43,40.690176381958,-73.948622769198,"{'latitude': '40.690176381958', 'longitude': '-73.948622769198', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,251,3049962,Bedford-Stuyvesant (West),,
PC8758999,2026-08-31T08:13:19.000,Compliance,642,PARK PLACE,11216,Brooklyn,Failed for Rat Activity,Summons Issued,Runways,3012380013,3,1238,13,40.674075969007,-73.956299561025,"{'latitude': '40.674075969007', 'longitude': '-73.956299561025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,35,219,3031401,Crown Heights (North),,
PC8758943,2026-08-31T08:25:00.000,Compliance,644,PARK PLACE,11216,Brooklyn,Failed for Rat Activity,Summons Issued,Burrows,3012380113,3,1238,113,40.674064972024,-73.956252702588,"{'latitude': '40.674064972024', 'longitude': '-73.956252702588', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,35,219,3031451,Crown Heights (North),,
PC8769140,2026-08-31T08:31:29.000,Initial,766,EAST 175 STREET,10460,Bronx,Failed for Other Reason,COTA,Harborage,2029520031,2,2952,31,40.841446469205,-73.891101818605,"{'latitude': '40.841446469205', 'longitude': '-73.891101818605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,367,2010007,Tremont,,
PC8624141,2026-08-31T08:31:41.000,Treatments,167,STOCKHOLM STREET,11237,Brooklyn,Bait applied,,,3032460050,3,3246,50,40.69963127773,-73.922663512869,"{'latitude': '40.69963127773', 'longitude': '-73.922663512869', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,37,429,3073849,Bushwick (West),1005694,194183
PC8769217,2026-08-31T08:36:25.000,Initial,768,EAST 175 STREET,10460,Bronx,Failed for Other Reason,COTA,Harborage,2029520032,2,2952,32,40.841424477076,-73.891065713162,"{'latitude': '40.841424477076', 'longitude': '-73.891065713162', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,367,2000000,Tremont,,
PC8758786,2026-08-31T08:39:19.000,Compliance,648,PARK PLACE,11216,Brooklyn,Failed for Rat Activity,Summons Issued,Droppings,3012380015,3,1238,15,40.674045722776,-73.956158983948,"{'latitude': '40.674045722776', 'longitude': '-73.956158983948', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,35,219,3031403,Crown Heights (North),,
PC8769237,2026-08-31T08:40:00.000,Initial,EAST,175 STREET,10460,Bronx,Failed for Other Reason,City Agency Referral,Harborage,,2,2952,68,,,,,,,,,,
PC8769167,2026-08-31T08:42:46.000,Initial,770,EAST 175 STREET,10460,Bronx,Failed for Rat Activity and Other Reason,COTA,"Burrows, Harborage",2029520033,2,2952,33,40.841402484935,-73.891029607742,"{'latitude': '40.841402484935', 'longitude': '-73.891029607742', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,367,2000000,Tremont,,
PC8697727,2026-08-31T08:47:15.000,Treatments,232,STOCKHOLM STREET,11237,Brooklyn,Bait applied,,,3032580016,3,3258,16,40.701178276687,-73.921118118904,"{'latitude': '40.701178276687', 'longitude': '-73.921118118904', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,37,431,3074183,Bushwick (West),,
PC8672562,2026-08-31T08:48:06.000,Compliance,46,TOMPKINS AVENUE,11206,Brooklyn,Failed for Rat Activity and Other Reason,Summons Issued,"Droppings, Harborage",3017300042,3,1730,42,40.698198555621,-73.946871084157,"{'latitude': '40.698198555621', 'longitude': '-73.946871084157', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,257,3048370,Bedford-Stuyvesant (West),,
PC8753287,2026-08-31T08:48:55.000,Compliance,276,MALCOLM X BOULEVARD,11233,Brooklyn,Failed for Rat Activity,Summons Issued,"Droppings, Runways",3016660048,3,1666,48,40.683537396598,-73.92919390269,"{'latitude': '40.683537396598', 'longitude': '-73.92919390269', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,295,3338010,Bedford-Stuyvesant (East),,
PC8401947,2026-08-31T08:53:00.000,Treatments,1918,PACIFIC STREET,11233,Brooklyn,Bait applied,,,3013440217,3,1344,217,40.67618575352,-73.923173897894,"{'latitude': '40.67618575352', 'longitude': '-73.923173897894', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,41,307,3378317,Crown Heights (North),1005572,185640
PC8757473,2026-08-31T08:56:06.000,Compliance,570,WILLOUGHBY AVENUE,11206,Brooklyn,Failed for Rat Activity,Summons Issued,Droppings,3017670035,3,1767,35,40.694130780377,-73.946823852092,"{'latitude': '40.694130780377', 'longitude': '-73.946823852092', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,261,3049130,Bedford-Stuyvesant (West),,
PC8753844,2026-08-31T08:57:24.000,Compliance,688,JEFFERSON AVENUE,11221,Brooklyn,Failed for Rat Activity and Other Reason,Summons Issued,"Burrows, Runways, Harborage",3016560037,3,1656,37,40.685539012771,-73.93029510565,"{'latitude': '40.685539012771', 'longitude': '-73.93029510565', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,295,3000000,Bedford-Stuyvesant (East),,
PC8746081,2026-08-31T09:01:26.000,Treatments,251,STOCKHOLM STREET,11237,Brooklyn,Bait applied,,,3032470045,3,3247,45,40.701532128274,-73.920793109669,"{'latitude': '40.701532128274', 'longitude': '-73.920793109669', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,37,429,3073891,Bushwick (West),,
