job_id,inspection_date,inspection_type,house_number,street_name,zip_code,borough,result,bbl,boro_code,block,lot,latitude,longitude,location,community_board,council_district,census_tract,bin,nta,letter_type,observations,x_coord,y_coord
PC8645009,2026-09-07T08:07:23.000,Treatments,1768,BRYANT AVENUE,10460,Bronx,Bait applied,2029980170,2,2998,170,40.836513785073,-73.885067498642,"{'latitude': '40.836513785073', 'longitude': '-73.885067498642', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,17,161,2117995,Crotona Park East,,,,
PC8545981,2026-09-07T08:10:52.000,Treatments,851,Hornaday Place,10460,Bronx,Bait applied,2031190050,2,3119,50,40.847043229436,-73.882970918198,"{'latitude': '40.847043229436', 'longitude': '-73.882970918198', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,363,2118281,West Farms,,,,
PC8681818,2026-09-07T08:15:16.000,Treatments,000,PEARL STREET,,Manhattan,Bait applied,,1,106,22,0.00000000000000000000,0.00000000000000000000,"{'latitude': '0.0', 'longitude': '0.0', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
PC8766583,2026-09-07T09:01:32.000,Treatments,48,EAST 1 STREET,10003,Manhattan,Bait applied,1004430053,1,443,53,40.723744980883,-73.989569997889,"{'latitude': '40.723744980883', 'longitude': '-73.989569997889', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,2,3602,1000000,East Village,,,,
PC8701947,2026-09-07T09:14:50.000,Treatments,122,HART STREET,11206,Brooklyn,Bait applied,3017710029,3,1771,29,40.693367783811,-73.946932645952,"{'latitude': '40.693367783811', 'longitude': '-73.946932645952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,261,3000000,Bedford-Stuyvesant (West),,,,
PC8646203,2026-09-07T09:19:06.000,Treatments,864,REV JAMES POLITE AVENUE,10459,Bronx,Bait applied,2026960079,2,2696,79,40.819545070476,-73.898898445757,"{'latitude': '40.819545070476', 'longitude': '-73.898898445757', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2,17,87,2000000,Longwood,,,,
PC8708114,2026-09-07T09:35:20.000,Treatments,EAST,5 STREET,10009,Manhattan,Bait applied,,1,374,14,,,,,,,,,,,,
PC8487224,2026-09-07T09:55:59.000,Treatments,700,Marcy Ave,11216,Brooklyn,Bait applied,3017890047,3,1789,47,40.690124030008,-73.948175675193,"{'latitude': '40.690124030008', 'longitude': '-73.948175675193', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,251,3000000,Bedford-Stuyvesant (West),,,,
PC8658557,2026-09-07T10:03:59.000,Treatments,EAST,2 STREET,10009,Manhattan,Bait applied,,1,397,28,,,,,,,,,,,,
PC8775907,2026-09-07T10:10:00.000,Initial,0000,EAST 158 STREET,,Bronx,Failed for Rat Activity,,2,2404,9,0.00000000000000000000,0.00000000000000000000,"{'latitude': '0.0', 'longitude': '0.0', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,City Agency Referral,Burrows,,
PC8619662,2026-09-07T10:15:15.000,Treatments,EAST,5 STREET,10009,Manhattan,Bait applied,,1,387,155,,,,,,,,,,,,
PC8640972,2026-09-07T10:22:36.000,Treatments,EAST,158 STREET,10451,Bronx,Bait applied,,2,2404,9,,,,,,,,,,,,
PC8768292,2026-09-07T11:05:24.000,Treatments,212,EAST 3 STREET,10009,Manhattan,Bait applied,1003850011,1,385,11,40.722495263601,-73.982582116051,"{'latitude': '40.722495263601', 'longitude': '-73.982582116051', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,2,2202,1000000,East Village,,,,
PC8673481,2026-09-07T11:10:13.000,Treatments,196,EAST 3 STREET,10009,Manhattan,Bait applied,1003980028,1,398,28,40.722882411759,-73.983501978513,"{'latitude': '40.722882411759', 'longitude': '-73.983501978513', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,2,3002,1000000,East Village,,,,
PC8701929,2026-09-07T11:21:00.000,Treatments,1276,MYRTLE AVENUE,11221,Brooklyn,Bait applied,3032320040,3,3232,40,40.697997563343,-73.925950801583,"{'latitude': '40.697997563343', 'longitude': '-73.925950801583', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,34,423,3000000,Bushwick (West),,,,
PC8702333,2026-09-07T11:23:13.000,Treatments,94,WEST 162 STREET,10452,Bronx,Bait applied,2025110030,2,2511,30,40.83140596149,-73.929437047016,"{'latitude': '40.83140596149', 'longitude': '-73.929437047016', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,189,2000000,Highbridge,,,,
PC8738152,2026-09-07T12:04:09.000,Treatments,427,EAST 157 STREET,10451,Bronx,Bait applied,2023790030,2,2379,30,40.821355291997,-73.914153651256,"{'latitude': '40.821355291997', 'longitude': '-73.914153651256', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,17,69,2000000,Melrose,,,,
PC8701926,2026-09-07T12:05:37.000,Treatments,162,LEFFERTS PLACE,11238,Brooklyn,Bait applied,3020200019,3,2020,19,40.680592509323,-73.957474241945,"{'latitude': '40.680592509323', 'longitude': '-73.957474241945', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,227,3000000,Bedford-Stuyvesant (West),,,,
PC8720006,2026-09-07T12:10:15.000,Treatments,209,AVENUE B,10009,Manhattan,Bait applied,1003950008,1,395,8,40.728582488646,-73.978636961846,"{'latitude': '40.728582488646', 'longitude': '-73.978636961846', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,2,28,1000000,East Village,,,,
PC8619661,2026-09-07T12:30:39.000,Treatments,EAST,6 STREET,10009,Manhattan,Bait applied,,1,387,121,,,,,,,,,,,,
PC8719317,2026-09-07T12:55:17.000,Treatments,96,WEST 163 STREET,10452,Bronx,Bait applied,2025110065,2,2511,65,40.832108498849,-73.929248389339,"{'latitude': '40.832108498849', 'longitude': '-73.929248389339', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,189,2000000,Highbridge,,,,
PC8681773,2026-09-07T12:57:08.000,Treatments,178,Bayard Street,11222,Brooklyn,Bait applied,3027260014,3,2726,14,40.720630780277,-73.945208076269,"{'latitude': '40.720630780277', 'longitude': '-73.945208076269', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,33,499,3000000,Greenpoint,,,,
PC8738138,2026-09-07T13:08:36.000,Treatments,1651,Madison Avenue,10029,Manhattan,Bait applied,1016160023,1,1616,23,40.796288409049,-73.947532896309,"{'latitude': '40.796288409049', 'longitude': '-73.947532896309', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,8,17402,1000000,East Harlem (South),,,,
PC8716052,2026-09-07T13:18:20.000,Treatments,272,EAST 4 STREET,10009,Manhattan,Bait applied,1003860022,1,386,22,40.722876634721,-73.981611544211,"{'latitude': '40.722876634721', 'longitude': '-73.981611544211', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,2,2601,1000000,East Village,,,,
PC8708116,2026-09-07T13:20:06.000,Treatments,143,AVENUE C,10009,Manhattan,Bait applied,1003910030,1,391,30,40.725198081121,-73.978049974983,"{'latitude': '40.725198081121', 'longitude': '-73.978049974983', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,2,2602,1000000,East Village,,,,
PC8645011,2026-09-07T13:28:32.000,Treatments,1312,BRISTOW STREET,10459,Bronx,Bait applied,2029650199,2,2965,199,40.830956717029,-73.894736254275,"{'latitude': '40.830956717029', 'longitude': '-73.894736254275', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,17,153,2126571,Crotona Park East,,,,
PC8727629,2026-09-07T14:07:39.000,Treatments,1315,OGDEN AVENUE,10452,Bronx,Bait applied,2025310035,2,2531,35,40.840370371998,-73.925245989194,"{'latitude': '40.840370371998', 'longitude': '-73.925245989194', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,201,2000000,Highbridge,,,,
PC8598088,2026-09-07T14:10:41.000,Treatments,000,East 11 STREET,,Manhattan,Bait applied,,1,393,20,0.00000000000000000000,0.00000000000000000000,"{'latitude': '0.0', 'longitude': '0.0', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
PC8727647,2026-09-07T15:24:00.000,Treatments,100,VAN CORTLANDT PARK E,,Bronx,Bait applied,,2,3323,100,0.00000000000000000000,0.00000000000000000000,"{'latitude': '0.0', 'longitude': '0.0', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
PC8557851,2026-09-08T08:16:06.000,Treatments,1681,Amsterdam Ave,10031,Manhattan,Bait applied,1020590001,1,2059,1,40.824024491269,-73.948475669157,"{'latitude': '40.824024491269', 'longitude': '-73.948475669157', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,227,1061269,Hamilton Heights-Sugar Hill,,,,
PC8560502,2026-09-08T08:25:06.000,Treatments,3502,Broadway,10031,Manhattan,Bait applied,1020750001,1,2075,1,40.825269083716,-73.951282216525,"{'latitude': '40.825269083716', 'longitude': '-73.951282216525', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,229,1061879,Hamilton Heights-Sugar Hill,,,,
PC8560505,2026-09-08T08:30:06.000,Treatments,3512,Broadway,10031,Manhattan,Bait applied,1020750061,1,2075,61,40.825510545646,-73.951104987931,"{'latitude': '40.825510545646', 'longitude': '-73.951104987931', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,229,1061895,Hamilton Heights-Sugar Hill,,,,
PC8624141,2026-09-08T08:31:05.000,Treatments,167,STOCKHOLM STREET,11237,Brooklyn,Bait applied,3032460050,3,3246,50,40.69963127773,-73.922663512869,"{'latitude': '40.69963127773', 'longitude': '-73.922663512869', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,37,429,3073849,Bushwick (West),,,1005694,194183
PC8490614,2026-09-08T08:36:00.000,Treatments,1474,PACIFIC STREET,11213,Brooklyn,Bait applied,3012100013,3,1210,13,40.677143111803,-73.940704972131,"{'latitude': '40.677143111803', 'longitude': '-73.940704972131', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,36,311,3030194,Crown Heights (North),,,1000697,185986
PC8557894,2026-09-08T08:36:06.000,Treatments,537,West 144 St,10031,Manhattan,Bait applied,1020760018,1,2076,18,40.825032139322,-73.94921199141,"{'latitude': '40.825032139322', 'longitude': '-73.94921199141', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,229,1061904,Hamilton Heights-Sugar Hill,,,,
PC8557890,2026-09-08T08:42:06.000,Treatments,531,West 145 St,10031,Manhattan,Bait applied,1020770012,1,2077,12,40.825654922162,-73.948597253874,"{'latitude': '40.825654922162', 'longitude': '-73.948597253874', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,229,1061931,Hamilton Heights-Sugar Hill,,,,
