inspection_job_id,job_id_interdata,job_progress_interdata,house_number_interdata,street_name_interdata,address_interdata,zip_code_interdata,latitude_interdata,longitude_interdata,result_interdata,approved_date_interdata,nta_interdata,name,country,country_code,state,county,city,postcode,district,suburb,street,housenumber,iso3166_2,lon,lat,state_code,formatted,address_line1,address_line2,categories,details,datasource,website,contact,catering,distance,place_id,geo_lon,geo_lat,opening_hours,description,commercial,facilities,brand,brand_details,quarter,building,name_other
Compliance,PC8654073,2,447,East 9 Street,447 East 9 Street,10009.0,40.727378256282,-73.982934413601,Rat Activity,2026-03-03T09:20:43.000,East Village,"Hello, Yam!",United States,us,New York,New York County,New York,10009,East Village,Manhattan,East 9th Street,4432,US-NY,-73.9829136,40.727499,NY,"Hello, Yam!, 4432 East 9th Street, New York, NY 10009, United States of America","Hello, Yam!","4432 East 9th Street, New York, NY 10009, United States of America","['catering', 'catering.fast_food', 'vegan']","['details', 'details.catering', 'details.contact']","{'sourcename': 'openstreetmap', 'attribution': '© OpenStreetMap contributors', 'license': 'Open Database License', 'url': 'https://www.openstreetmap.org/copyright', 'raw': {'name': 'Hello, Yam!', 'email': 'eastvillage@helloyamnyc.com', 'phone': '+1-347-222-6434', 'osm_id': 12247152956, 'amenity': 'fast_food', 'cuisine': 'japanese;sweet_potato', 'website': 'https://www.helloyam.com/', 'osm_type': 'n', 'addr:city': 'New York', 'addr:state': 'NY', 'diet:vegan': 'yes', 'addr:street': 'East 9th Street', 'website:menu': 'https://www.helloyam.com/menu', 'addr:postcode': 10009, 'addr:housenumber': 4432, 'contact:instagram': 'helloyam_eastvillage'}}",https://www.helloyam.com/,"{'phone': '+1-347-222-6434', 'email': 'eastvillage@helloyamnyc.com'}","{'cuisine': 'japanese;sweet_potato', 'diet': {'vegan': True}}",14.0,51cbb2710ee87e52c059f235efaf1e5d4440f00103f9013cb9fcd90200000092030b48656c6c6f2c2059616d21,-73.9829136,40.727499000360595,,,,,,,,,
Compliance,PC8654073,2,447,East 9 Street,447 East 9 Street,10009.0,40.727378256282,-73.982934413601,Rat Activity,2026-03-03T09:20:43.000,East Village,Confectionery!,United States,us,New York,New York County,New York,10003,East Village,Manhattan,East 9th Street,440,US-NY,-73.9830755,40.7273195,NY,"Confectionery!, 440 East 9th Street, New York, NY 10003, United States of America",Confectionery!,"440 East 9th Street, New York, NY 10003, United States of America","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.bakery', 'vegan', 'vegetarian']","['details', 'details.contact']","{'sourcename': 'openstreetmap', 'attribution': '© OpenStreetMap contributors', 'license': 'Open Database License', 'url': 'https://www.openstreetmap.org/copyright', 'raw': {'name': 'Confectionery!', 'shop': 'bakery', 'phone': '+1 646-869-0133', 'osm_id': 6281164644, 'website': 'https://lagustasluscious.com/shop/', 'osm_type': 'n', 'diet:vegan': 'yes', 'addr:street': 'East 9th Street', 'description': 'Vegan sweet shop.', 'opening_hours': 'Mo-Su 12:00-15:30, Mo-Sa 16:15-20:00', 'diet:vegetarian': 'yes', 'addr:housenumber': 440}}",https://lagustasluscious.com/shop/,{'phone': '+1 646-869-0133'},,14.0,51ec7f80b5ea7e52c05957e52dce185d4440f00103f90164f762760100000092030e436f6e66656374696f6e65727921,-73.98307549999998,40.72731950036057,"Mo-Su 12:00-15:30, Mo-Sa 16:15-20:00",Vegan sweet shop.,{'type': 'bakery'},,,,,,
Compliance,PC8654073,2,447,East 9 Street,447 East 9 Street,10009.0,40.727378256282,-73.982934413601,Rat Activity,2026-03-03T09:20:43.000,East Village,Doc Hollidays,United States,us,New York,New York County,New York,10009,Alphabet City,Manhattan,Avenue A,141,US-NY,-73.982885,40.7272283,NY,"Doc Hollidays, 141 Avenue A, New York, NY 10009, United States of America",Doc Hollidays,"141 Avenue A, New York, NY 10009, United States of America","['catering', 'catering.bar']",[],"{'sourcename': 'openstreetmap', 'attribution': '© OpenStreetMap contributors', 'license': 'Open Database License', 'url': 'https://www.openstreetmap.org/copyright', 'raw': {'name': 'Doc Hollidays', 'osm_id': 2549928461, 'amenity': 'bar', 'osm_type': 'n', 'check_date': '2024-11-09', 'addr:street': 'Avenue A', 'addr:postcode': 10009, 'addr:housenumber': 141, 'opening_hours:signed': 'no'}}",,,,17.0,51a6ae7c96e77e52c059196323d1155d4440f00103f9010dd2fc970000000092030d446f6320486f6c6c6964617973,-73.98288499999998,40.727228300360544,,,,,,,,,
Compliance,PC8654073,2,447,East 9 Street,447 East 9 Street,10009.0,40.727378256282,-73.982934413601,Rat Activity,2026-03-03T09:20:43.000,East Village,Poke N' Roll,United States,us,New York,New York County,New York,10009,East Village,Manhattan,East 9th Street,441,US-NY,-73.9830427,40.7275413,NY,"Poke N' Roll, 441 East 9th Street, New York, NY 10009, United States of America",Poke N' Roll,"441 East 9th Street, New York, NY 10009, United States of America","['catering', 'catering.fast_food']","['details', 'details.catering', 'details.contact', 'details.facilities']","{'sourcename': 'openstreetmap', 'attribution': '© OpenStreetMap contributors', 'license': 'Open Database License', 'url': 'https://www.openstreetmap.org/copyright', 'raw': {'name': ""Poke N' Roll"", 'phone': '+1-212-420-7653', 'osm_id': 7366142883, 'amenity': 'fast_food', 'cuisine': 'hawaiian', 'osm_type': 'n', 'takeaway': 'yes', 'addr:street': 'East 9th Street', 'addr:postcode': 10009, 'opening_hours': 'Mo-Su 11:00-22:00', 'addr:housenumber': 441, 'contact:facebook': 'https://www.facebook.com/pokenrollnyc/'}}",,{'phone': '+1-212-420-7653'},{'cuisine': 'hawaiian'},20.0,5194c4ed2bea7e52c059dec4c512205d4440f00103f901a36b0eb70100000092030c506f6b65204e2720526f6c6c,-73.9830427,40.727541300360585,Mo-Su 11:00-22:00,,,{'takeaway': True},,,,,
Compliance,PC8654073,2,447,East 9 Street,447 East 9 Street,10009.0,40.727378256282,-73.982934413601,Rat Activity,2026-03-03T09:20:43.000,East Village,Tacos Morelos,United States,us,New York,New York County,New York,10009,East Village,Manhattan,East 9th Street,438,US-NY,-73.9831865,40.7273626,NY,"Tacos Morelos, 438 East 9th Street, New York, NY 10009, United States of America",Tacos Morelos,"438 East 9th Street, New York, NY 10009, United States of America","['catering', 'catering.fast_food']","['details', 'details.catering', 'details.facilities']","{'sourcename': 'openstreetmap', 'attribution': '© OpenStreetMap contributors', 'license': 'Open Database License', 'url': 'https://www.openstreetmap.org/copyright', 'raw': {'name': 'Tacos Morelos', 'osm_id': 5215491822, 'amenity': 'fast_food', 'delivery': 'yes', 'osm_type': 'n', 'takeaway': 'yes', 'addr:street': 'East 9th Street', 'addr:postcode': 10009, 'opening_hours': 'Mo-Su 11:00-22:30', 'addr:housenumber': 438}}",,,,21.0,5199d71187ec7e52c059ea70ba371a5d4440f00103f901ee16de360100000092030d5461636f73204d6f72656c6f73,-73.9831865,40.727362600360564,Mo-Su 11:00-22:30,,,"{'takeaway': True, 'delivery': True}",,,,,
Initial,PC8672869,1,87-82,160 Street,87-82 160 Street,11432.0,40.707470300369,-73.801622270704,Failed for Rat Act,2026-03-04T11:52:43.000,Jamaica,Diyaanaat NY,United States,us,New York,Queens County,New York,11432,,Queens,160th Street,160-02,US-NY,-73.8016116,40.7076871,NY,"Diyaanaat NY, 160-02 160th Street, New York, NY 11432, United States of America",Diyaanaat NY,"160-02 160th Street, New York, NY 11432, United States of America","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.butcher']","['details.commercial', 'details.contact']","{'sourcename': 'openstreetmap', 'attribution': '© OpenStreetMap contributors', 'license': 'Open Database License', 'url': 'https://www.openstreetmap.org/copyright', 'raw': {'name': 'Diyaanaat NY', 'shop': 'butcher', 'level': 0, 'phone': '+1-917-515-0652', 'osm_id': 9815263219, 'osm_type': 'n', 'addr:city': 'Jamaica', 'addr:state': 'NY', 'addr:street': '160th Street', 'addr:postcode': 11432, 'addr:housenumber': '160-02'}}",,{'phone': '+1-917-515-0652'},,24.0,510786bd9a4d7352c05978ebab7d955a4440f00103f901f30709490200000092030c44697961616e616174204e59,-73.80161159999999,40.707687100358214,,,"{'type': 'butcher', 'level': 0}",,,,,,
Initial,PC8672869,1,87-82,160 Street,87-82 160 Street,11432.0,40.707470300369,-73.801622270704,Failed for Rat Act,2026-03-04T11:52:43.000,Jamaica,Sybil's Restaurant & Bakery,United States,us,New York,Queens County,New York,11432,,Queens,Hillside Avenue,159-24,US-NY,-73.801885,40.7078089,NY,"Sybil's Restaurant & Bakery, 159-24 Hillside Avenue, New York, NY 11432, United States of America",Sybil's Restaurant & Bakery,"159-24 Hillside Avenue, New York, NY 11432, United States of America","['catering', 'catering.restaurant']","['details', 'details.catering', 'details.contact', 'details.facilities']","{'sourcename': 'openstreetmap', 'attribution': '© OpenStreetMap contributors', 'license': 'Open Database License', 'url': 'https://www.openstreetmap.org/copyright', 'raw': {'name': ""Sybil's Restaurant & Bakery"", 'phone': '+1-718-297-2359', 'osm_id': 4964211688, 'amenity': 'restaurant', 'website': 'https://www.sybilsbakerynyc.com', 'osm_type': 'n', 'addr:city': 'Jamaica', 'addr:state': 'NY', 'addr:street': 'Hillside Avenue', 'addr:postcode': 11432, 'opening_hours': '10:00-21:00', 'indoor_seating': 'yes', 'outdoor_seating': 'no', 'addr:housenumber': '159-24', 'air_conditioning': 'yes'}}",https://www.sybilsbakerynyc.com,{'phone': '+1-718-297-2359'},,44.0,51ca897615527352c0599b6d677b995a4440f00103f901e8dbe3270100000092031b537962696c27732052657374617572616e7420262042616b657279,-73.801885,40.70780890035822,10:00-21:00,,,"{'air_conditioning': True, 'outdoor_seating': False}",,,,,
Treatments,PC8488952,7,584,Myrtle Avenue,584 Myrtle Avenue,11205.0,40.693974625602,-73.961259324748,Bait applied,2026-03-02T13:36:26.000,Clinton Hill,Tipsy,United States,us,New York,Kings County,New York,11205,,Brooklyn,Myrtle Avenue,584,US-NY,-73.9612384,40.6938754,NY,"Tipsy, 584 Myrtle Avenue, New York, NY 11205, United States of America",Tipsy,"584 Myrtle Avenue, New York, NY 11205, United States of America","['commercial', 'commercial.food_and_drink', 'commercial.food_and_drink.drinks']","['details', 'details.contact']","{'sourcename': 'openstreetmap', 'attribution': '© OpenStreetMap contributors', 'license': 'Open Database License', 'url': 'https://www.openstreetmap.org/copyright', 'raw': {'name': 'Tipsy', 'shop': 'alcohol', 'phone': '+1-347-599-1672', 'osm_id': 9583789838, 'website': 'https://shoptipsy.com', 'osm_type': 'n', 'drink:wine': 'yes', 'addr:street': 'Myrtle Avenue', 'drink:liquor': 'yes', 'addr:postcode': 11205, 'opening_hours': 'Mo-Th 15:00-21:00; Fr-Sa 12:00-22:00; Su 12:00-21:00', 'addr:housenumber': 584}}",https://shoptipsy.com,{'phone': '+1-347-599-1672'},,11.0,5133ea10ee847d52c059e003bce8d0584440f00103f9010e073d3b020000009203055469707379,-73.9612384,40.693875400356546,Mo-Th 15:00-21:00; Fr-Sa 12:00-22:00; Su 12:00-21:00,,{'type': 'alcohol'},,,,,,
Treatments,PC8488952,7,584,Myrtle Avenue,584 Myrtle Avenue,11205.0,40.693974625602,-73.961259324748,Bait applied,2026-03-02T13:36:26.000,Clinton Hill,Moot Bar,United States,us,New York,Kings County,New York,11205,,Brooklyn,Myrtle Avenue,579,US-NY,-73.960971,40.6941319,NY,"Moot Bar, 579 Myrtle Avenue, New York, NY 11205, United States of America",Moot Bar,"579 Myrtle Avenue, New York, NY 11205, United States of America","['catering', 'catering.bar']","['details', 'details.catering', 'details.contact', 'details.facilities']","{'sourcename': 'openstreetmap', 'attribution': '© OpenStreetMap contributors', 'license': 'Open Database License', 'url': 'https://www.openstreetmap.org/copyright', 'raw': {'name': 'Moot Bar', 'phone': '+1-718-638-3982', 'osm_id': 5772062970, 'amenity': 'bar', 'smoking': 'no', 'website': 'https://www.mootbar.com', 'osm_type': 'n', 'addr:city': 'Brooklyn', 'addr:state': 'NY', 'addr:street': 'Myrtle Avenue', 'addr:postcode': 11205, 'opening_hours': 'Mo-Th 15:00-02:00; Fr-Sa 15:00-04:00; Su 15:00-02:00', 'outdoor_seating': 'sidewalk', 'addr:housenumber': 579}}",https://www.mootbar.com,{'phone': '+1-718-638-3982'},,30.0,51e259828c807d52c05928926950d9584440f00103f901fab00a58010000009203084d6f6f7420426172,-73.960971,40.69413190035658,Mo-Th 15:00-02:00; Fr-Sa 15:00-04:00; Su 15:00-02:00,,,"{'smoking': False, 'outdoor_seating': True}",,,,,
Treatments,PC8488952,7,584,Myrtle Avenue,584 Myrtle Avenue,11205.0,40.693974625602,-73.961259324748,Bait applied,2026-03-02T13:36:26.000,Clinton Hill,Nathan's,United States,us,New York,Kings County,New York,11205,,Brooklyn,Myrtle Avenue,569,US-NY,-73.9615527,40.6941544,NY,"Nathan's, 569 Myrtle Avenue, New York, NY 11205, United States of America",Nathan's,"569 Myrtle Avenue, New York, NY 11205, United States of America","['catering', 'catering.fast_food', 'catering.fast_food.hot_dog']","['details', 'details.catering', 'details.facilities']","{'sourcename': 'openstreetmap', 'attribution': '© OpenStreetMap contributors', 'license': 'Open Database License', 'url': 'https://www.openstreetmap.org/copyright', 'raw': {'name': ""Nathan's"", 'brand': ""Nathan's"", 'osm_id': 7173294497, 'amenity': 'fast_food', 'cuisine': 'hot_dog', 'osm_type': 'n', 'takeaway': 'yes', 'ice_cream': 'yes', 'drink:coffee': 'yes', 'brand:wikidata': 'Q1319505'}}",,,{'cuisine': 'hot_dog'},32.0,515af855148a7d52c059f8f3270dda584440f00103f901a1c98fab010000009203084e617468616e2773,-73.9615527,40.69415440035658,,,,{'takeaway': True},Nathan's,{'wikidata': 'Q1319505'},,,
