name,county,city,postcode,district,suburb,housenumber,street,lon,lat,formatted,catering,commercial,house_number_interdata,street_name_interdata,address_interdata,result_interdata,ratio,split_check
"Hello, Yam!",New York County,New York,10009,East Village,Manhattan,4432,East 9th Street,-73.9829136,40.727499,"Hello, Yam!, 4432 East 9th Street, New York, NY 10009, United States of America","{'cuisine': 'japanese;sweet_potato', 'diet': {'vegan': True}}",,447,East 9 Street,447 East 9 Street,Rat Activity,86,False
Confectionery!,New York County,New York,10003,East Village,Manhattan,440,East 9th Street,-73.9830755,40.7273195,"Confectionery!, 440 East 9th Street, New York, NY 10003, United States of America",,{'type': 'bakery'},447,East 9 Street,447 East 9 Street,Rat Activity,86,False
Poke N' Roll,New York County,New York,10009,East Village,Manhattan,441,East 9th Street,-73.9830427,40.7275413,"Poke N' Roll, 441 East 9th Street, New York, NY 10009, United States of America",{'cuisine': 'hawaiian'},,447,East 9 Street,447 East 9 Street,Rat Activity,86,False
Tacos Morelos,New York County,New York,10009,East Village,Manhattan,438,East 9th Street,-73.9831865,40.7273626,"Tacos Morelos, 438 East 9th Street, New York, NY 10009, United States of America",,,447,East 9 Street,447 East 9 Street,Rat Activity,86,False
Diyaanaat NY,Queens County,New York,11432,,Queens,160-02,160th Street,-73.8016116,40.7076871,"Diyaanaat NY, 160-02 160th Street, New York, NY 11432, United States of America",,"{'type': 'butcher', 'level': 0}",87-82,160 Street,87-82 160 Street,Failed for Rat Act,86,False
Tipsy,Kings County,New York,11205,,Brooklyn,584,Myrtle Avenue,-73.9612384,40.6938754,"Tipsy, 584 Myrtle Avenue, New York, NY 11205, United States of America",,{'type': 'alcohol'},584,Myrtle Avenue,584 Myrtle Avenue,Bait applied,90,True
Moot Bar,Kings County,New York,11205,,Brooklyn,579,Myrtle Avenue,-73.960971,40.6941319,"Moot Bar, 579 Myrtle Avenue, New York, NY 11205, United States of America",,,584,Myrtle Avenue,584 Myrtle Avenue,Bait applied,86,False
Nathan's,Kings County,New York,11205,,Brooklyn,569,Myrtle Avenue,-73.9615527,40.6941544,"Nathan's, 569 Myrtle Avenue, New York, NY 11205, United States of America",{'cuisine': 'hot_dog'},,584,Myrtle Avenue,584 Myrtle Avenue,Bait applied,86,False
The Emerson,Kings County,New York,11205,,Brooklyn,561,Myrtle Avenue,-73.9618019,40.6940535,"The Emerson, 561 Myrtle Avenue, New York, NY 11205, United States of America",,,584,Myrtle Avenue,584 Myrtle Avenue,Bait applied,86,False
Kingston Bakery Brooklyn,Kings County,New York,11205,,Brooklyn,585,Myrtle Avenue,-73.9607348,40.6941607,"Kingston Bakery Brooklyn, 585 Myrtle Avenue, New York, NY 11205, United States of America",{'cuisine': 'jamaican'},,584,Myrtle Avenue,584 Myrtle Avenue,Bait applied,86,False
Subway,Bronx County,New York,10472,,The Bronx,1885,Westchester Avenue,-73.8632252,40.8330935,"Subway, 1885 Westchester Avenue, New York, NY 10472, United States of America",{'cuisine': 'sandwich'},,1327,Leland Avenue,1327 Leland Avenue,Bait applied,86,False
Melonpanna x Libra Cake,Kings County,New York,11220,Sunset Park,Brooklyn,5105,7th Avenue,-74.0064868,40.6415953,"Melonpanna x Libra Cake, 5105 7th Avenue, New York, NY 11220, United States of America",,{'type': 'bakery'},5123,7 Avenue,5123 7 Avenue,Bait applied,86,False
Di Fara,Kings County,New York,11249,,Brooklyn,103,North 3rd Street,-73.9617981,40.7170794,"Di Fara, 103 North 3rd Street, New York, NY 11249, United States of America",{'cuisine': 'pizza'},,91,North    4 Street,91 North    4 Street,Bait applied,86,False
Melonpanna x Libra Cake,Kings County,New York,11220,Sunset Park,Brooklyn,5105,7th Avenue,-74.0064868,40.6415953,"Melonpanna x Libra Cake, 5105 7th Avenue, New York, NY 11220, United States of America",,{'type': 'bakery'},5119,7 Avenue,5119 7 Avenue,Bait applied,86,False
Chopped Cheese & Grill,Bronx County,New York,10468,,The Bronx,,Grand Avenue,-73.9033421,40.862896,"Chopped Cheese & Grill, Grand Avenue, New York, NY 10468, United States of America",,,2455,Grand Avenue,2455 Grand Avenue,Stoppage done,86,False
Patagonia Wine & Spirits,New York County,New York,10032,Manhattan Community Board 12,Manhattan,2001,Amsterdam Avenue,-73.9408222,40.8341213,"Patagonia Wine & Spirits, 2001 Amsterdam Avenue, New York, NY 10032, United States of America",,{'type': 'beverages'},1993,Amsterdam Avenue,1993 Amsterdam Avenue,Bait applied,86,False
South Port,Kings County,New York,11249,,Brooklyn,91,South 4th Street,-73.9642787,40.7124975,"South Port, 91 South 4th Street, New York, NY 11249, United States of America",,,315,Berry Street,315 Berry Street,Bait applied,86,False
Cafe Con Pan,Kings County,New York,11220,Sunset Park,Brooklyn,5401,5th Avenue,-74.0126018,40.6427029,"Cafe Con Pan, 5401 5th Avenue, New York, NY 11220, United States of America",{'cuisine': 'mexican'},{'type': 'pastry'},5411,5 Avenue,5411 5 Avenue,Bait applied,86,False
